키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
깐부치킨,58.61,41.38,,0.02,2.07,5.77,11.86,30.32,29.33,20.6,114320,83260,70870,53370,58150,60050,73080,74180,72660,64260,61690,59910,79560,63900,54830,52590,59810,61640,65400,64740,64080,61810,57120,61420,48800,54550,54850,49740,54060,48900,50220,51600,51500,54070,47480,45280,40430,42390,41070,39720,41700,42630,52760,52940,56130,51830,45230,628900
피자먹다,38.5,61.49,,0.23,11.43,10.44,11.7,26.33,28.97,10.86,1150,2950,2800,3040,5770,6810,7650,11500,14270,11810,11880,15440,15300,14500,11280,25080,35560,16720,18350,16730,14400,19040,19390,15630,16470,15090,15120,14610,16450,17850,18230,24160,19310,13650,12450,14210,11930,10480,11080,10540,10980,11000,10970,9970,9180,11160,334000,9980
숙취해소제,43.39,56.6,,0.04,7.86,12.06,15.42,25.78,23.48,15.34,51500,44840,52460,38130,43220,55330,65850,54960,52250,49620,65610,64610,66290,76060,77410,58190,69450,58450,55350,53490,52170,46920,47820,45290,48080,45840,71690,54320,59280,49230,54040,46370,48240,46420,44030,43570,46440,66390,69950,65510,67030,53740,46730,50540,44020,37840,34360,32040
생일 케이크,32.58,67.41,,0.4,7.77,12.56,16.15,27.01,19.17,16.89,22110,24960,24940,24120,24790,21650,21230,20980,21180,22670,22040,23710,23540,25210,26510,23060,22740,20540,22930,20340,22010,22990,21930,22770,22890,23190,25910,21640,23160,22170,21770,21400,22360,23920,22560,23430,21660,22900,23180,23910,23600,19580,18720,17880,17310,18150,21050,19770
기념일,37.39,62.6,,0.33,14.73,19.1,20.25,27.16,10.47,7.94,25870,21280,22990,29360,35650,27790,35030,27050,23020,25350,33150,30750,28080,20720,22220,29040,36310,29560,32600,26410,22330,22040,19930,22880,22060,18240,20240,25040,29640,22830,29790,22290,20930,21870,19190,20980,20430,14780,15810,21460,23210,18180,22010,16710,14880,15580,14760,15310
아웃백 생일쿠폰,28.75,71.24,30~39세,0.02,1.71,8.53,15.73,45.02,25.47,3.48,22060,26180,34930,24370,14420,11980,13030,13890,18010,20290,19160,20280,20520,25920,31800,29130,19410,15410,17080,15450,18280,19730,16220,16400,16290,19470,19060,15730,12760,10750,11690,11300,13880,14400,14480,15340,13220,17870,18710,17580,14270,12310,13920,13670,13800,16270,15660,17130
숙취 해소,41.1,58.89,,0.06,4.3,9.39,13.96,25,24.32,22.95,21440,19020,19790,17060,16870,20780,21740,18210,17960,26110,38790,38000,26620,23180,24800,20360,21460,18990,18310,17640,17670,17260,17290,16120,16800,25380,20450,16120,16620,14160,16690,16020,15230,15130,15090,13360,15460,18170,17350,15420,14780,12420,12660,12670,12930,11810,11730,10590
결혼기념일,32.63,67.36,30~39세,0.15,3.43,3.23,8.49,43.88,26.98,13.79,30900,23810,16980,17860,22550,25570,24050,16730,10130,14350,18980,33870,32500,23890,17820,16160,21480,26980,22970,15540,7510,9740,15310,28570,28600,20720,15680,15020,19810,22330,21290,13830,9060,10600,15490,26170,25140,16980,11650,12270,15360,15140,15210,9200,5660,7390,10750,15150
회식,45.44,54.55,,0.25,6.81,10.2,15.54,28.82,24.31,14.03,20000,15600,9860,8550,12290,22760,23050,19310,19110,16950,15450,17500,18200,23180,16390,15840,19240,18070,17400,16380,16380,14050,12900,12950,16000,20040,15920,13300,15350,14870,15460,14950,16680,14710,13150,13470,16000,20700,13460,13250,12970,11710,11240,11380,13130,11640,11690,9350
치팅데이,43.7,56.29,,0.31,7.16,12.01,12.01,26.24,25.57,16.68,23720,21560,29910,27570,28210,26660,26640,26340,27750,26050,20930,20010,18030,14240,22600,29350,26780,25800,26150,25980,28500,25760,22310,16890,17060,13420,20000,16470,21160,22160,22910,24700,21060,18960,14570,15560,15150,10580,12090,12960,14420,13550,12870,12490,14180,12560,11510,9050
계모임,44.55,55.44,,0.4,10.02,12.66,19.63,31.03,19.21,7.01,9790,10500,10390,8580,8950,9680,10250,13220,11820,13630,11030,11480,16280,16840,19620,18010,16410,16400,18410,15870,16550,16540,14600,16650,15950,19730,22540,17080,13840,12580,12580,14200,13170,12010,10940,10650,9660,9650,12740,12270,11030,10280,11080,12430,13290,12930,9160,9150
